barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,barbarian_10_x,barbarian_10_y,barbarian_11_x,barbarian_11_y,barbarian_12_x,barbarian_12_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,archer_10_x,archer_10_y,archer_11_x,archer_11_y,archer_12_x,archer_12_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y,giant_3_x,giant_3_y,giant_4_x,giant_4_y
31,17,27,49,40,15,45,27,5,-14,3,-5,39,20,-7,31,31,19,33,-16,6,-1,5,-14,41,31,-4,-7,1,-3,-10,-17,-12,49,-10,28,12,-9,26,-10,27,-14,38,40,44,-1,0,49,44,-3,-3,-17,-7,8,41,-1,7,-15,-9,2,45,43
-12,41,16,-3,49,45,-7,17,21,-5,20,38,48,43,18,-2,-18,7,0,-1,39,-4,40,3,9,-12,26,32,-13,34,40,4,-15,21,35,20,49,-2,41,16,-19,-14,43,-13,-9,49,45,35,49,-14,0,-3,14,41,36,-13,-7,20,-4,4,39,-17
-16,39,41,36,49,19,26,-16,-10,40,-12,37,-9,5,5,47,-19,-7,16,39,-3,21,27,31,47,12,19,48,37,-14,46,21,-9,-1,28,-6,-11,1,-6,26,43,18,-13,40,-19,-17,-7,3,38,47,-14,39,9,40,-10,38,31,45,16,38,46,39
3,40,8,45,14,-12,14,47,48,37,21,-7,-7,24,0,-13,36,34,2,-2,45,5,-12,18,41,5,12,48,33,18,-18,41,-11,8,-2,-8,-5,1,19,-11,10,-1,11,41,24,-15,0,-6,46,13,-7,0,44,0,48,26,27,-2,-10,-1,-6,28
39,25,-15,42,25,-7,-1,20,32,22,35,6,-7,-19,48,-19,3,-13,41,13,29,45,9,45,-7,-19,-8,49,15,-8,42,3,31,38,-8,-15,20,49,6,-13,-8,40,15,-6,-3,30,2,34,27,-10,9,-10,12,44,42,31,-16,26,1,40,-9,16
47,-11,30,47,28,41,35,25,3,36,44,31,29,-4,-14,42,-12,21,-18,13,11,48,32,37,45,25,34,-10,21,-1,47,17,5,-4,-10,-16,-14,24,-3,40,-17,-6,-5,24,36,12,-13,38,35,34,-12,13,-19,-10,-4,0,31,15,41,-13,-5,4
-8,-1,-10,26,32,35,42,15,33,8,-1,3,-10,42,-17,14,9,46,43,29,43,29,12,-14,-7,5,2,-8,-8,2,21,41,1,39,31,-4,45,21,31,17,45,21,4,36,46,4,2,48,7,-8,-10,47,39,21,31,-2,-9,-8,5,-1,49,31
-10,10,29,31,-3,37,-10,4,36,-10,33,-7,41,16,40,46,-14,33,15,36,-9,23,9,-19,43,23,29,38,2,40,40,40,15,-1,4,36,25,-5,-14,42,34,43,31,31,41,-11,41,37,-11,47,-19,18,-9,35,24,33,18,-15,-16,31,44,48
41,43,6,-19,38,-7,23,49,39,-13,9,49,49,1,42,7,1,-16,48,14,39,20,38,34,-5,45,48,38,48,0,37,11,31,6,39,20,-1,0,-16,13,44,42,35,-19,43,-12,-9,18,40,44,-5,-14,49,-17,-10,38,-14,27,-11,-3,42,-11
33,28,33,31,40,30,-15,40,1,-2,11,42,28,37,39,-4,31,5,33,-6,16,45,48,-14,49,41,44,-14,31,26,-15,32,45,12,3,-18,-14,16,-16,6,41,-16,44,22,35,18,30,-13,-16,14,36,13,-9,21,-7,27,-19,7,23,41,33,-7
2,37,-4,37,-4,18,8,36,40,4,42,5,48,12,46,31,44,-12,24,33,-15,37,-1,3,-10,10,49,-10,-11,42,23,-16,25,38,9,-16,21,37,38,1,7,-2,-9,-18,-1,20,6,33,-12,-11,-16,43,45,-16,26,-15,-16,-16,-12,32,-19,-19
-7,23,-19,8,-19,-18,-9,18,-2,22,-4,31,31,-19,37,32,45,21,44,-8,35,26,-6,19,12,-19,-10,38,25,36,9,38,19,-4,-17,-3,-18,49,34,48,8,49,-15,-18,-5,21,-15,10,16,43,-4,8,47,-12,-14,34,-3,-10,32,2,19,48
31,27,22,-10,7,35,-18,-16,-1,6,-4,5,20,-3,16,-9,37,48,30,38,-11,43,36,25,-1,19,3,-15,47,16,32,34,25,44,-18,6,1,-9,3,38,6,33,-7,16,29,37,-3,32,-4,45,19,42,47,20,10,32,47,-9,4,40,38,-13
14,32,26,42,35,45,29,45,-18,-14,-19,33,39,-15,-9,7,26,-3,46,5,1,-14,-7,-16,-16,-13,16,-16,26,-2,-1,46,-18,0,40,31,25,-5,-17,14,41,47,38,7,39,-9,-19,-14,2,42,-15,39,49,1,-1,17,40,49,31,-15,46,46
-16,-17,44,3,-10,34,-10,48,-9,25,31,32,24,47,-18,42,43,16,17,41,1,32,44,-19,34,40,36,20,45,12,-3,-7,30,-10,0,36,14,-6,24,-16,22,35,8,33,-10,38,43,15,22,-14,-18,-10,-1,-7,-8,36,26,33,25,42,-13,25
36,-1,-17,-10,43,41,-12,20,36,6,39,17,47,-19,-2,17,-13,30,42,37,34,32,-14,9,-14,44,-14,8,5,-2,17,-9,2,-11,-4,24,42,8,-4,3,27,-4,40,13,-14,9,32,46,45,30,-13,8,-6,18,24,-6,4,-3,32,22,-2,41
-1,9,-12,40,39,16,44,0,21,41,-14,10,43,-12,36,10,-8,9,-19,9,34,25,48,32,26,32,-11,6,41,-13,-11,44,-7,31,32,34,14,49,-2,23,-6,47,-14,43,48,24,43,36,13,39,41,37,-10,-2,33,23,31,35,3,-6,-6,-4
3,47,45,-6,12,48,33,42,33,27,31,21,-17,-17,40,35,37,49,6,46,28,-7,14,-12,-5,32,-4,0,43,33,-9,-14,25,-5,-1,-10,48,-19,49,4,12,-3,46,1,41,23,48,10,36,11,38,1,9,45,36,-4,11,44,23,-13,-5,48
39,9,43,38,45,-11,34,23,-16,37,49,41,36,47,41,13,19,41,-2,43,20,-17,32,-12,7,39,-2,-7,45,13,11,43,-1,42,1,-7,33,-13,-6,33,-17,31,11,46,1,-19,-7,4,21,-3,32,-12,-1,21,-7,46,38,32,19,-18,11,-19
-3,-19,29,32,42,32,39,20,-16,46,45,9,-13,12,14,-16,-6,7,18,32,32,-19,-14,18,36,-17,45,-1,40,25,33,29,14,40,28,41,38,24,-13,-18,48,7,-2,-7,39,-11,43,15,-6,13,-1,30,37,45,-8,34,6,43,-6,-4,22,38
33,2,-16,-9,45,26,-3,14,47,-4,45,20,10,-1,-16,47,12,37,39,38,38,-17,27,46,-10,18,29,41,0,31,0,-1,41,-8,-6,-19,44,-18,-18,34,-2,-9,12,-1,44,9,-1,22,45,42,47,39,-6,-12,37,33,38,18,21,48,38,-11
17,-9,-13,39,42,22,41,-16,29,-6,-14,34,-10,20,-19,-6,47,22,-4,33,44,-3,46,17,41,-4,29,46,27,-15,9,-9,-1,27,27,-12,-7,13,31,21,47,24,-2,19,-4,49,33,-12,38,36,-2,12,43,-17,47,20,43,15,10,32,-11,36
31,28,49,28,41,16,33,13,32,-18,-9,25,-10,28,23,45,37,-15,16,-11,-2,49,-16,28,13,-3,49,1,23,-2,-7,9,-17,38,-13,29,32,46,46,37,13,-12,-19,-11,11,49,33,21,-17,34,-16,23,27,-15,47,-3,29,-18,-6,-7,29,41
5,38,48,44,-5,17,-7,19,49,42,47,20,-12,-13,4,33,26,32,31,8,13,41,-19,32,-7,-14,-7,42,8,-9,39,39,19,36,-2,16,35,13,39,41,-18,12,-11,48,-18,-11,-11,-15,-19,26,-2,4,38,37,47,44,49,-9,22,44,11,38
47,3,-12,17,34,-3,-8,5,37,20,-14,43,0,49,16,-5,32,1,-19,42,39,14,7,-8,-9,11,-2,48,-17,31,35,44,27,-2,18,43,-16,49,16,38,-7,-2,34,32,18,48,48,19,24,43,13,44,-17,44,32,35,0,-4,19,-4,9,-5
37,17,35,-5,43,5,-17,-4,47,19,-18,46,24,-14,8,47,6,46,38,41,3,-3,45,47,-17,-1,48,-5,3,49,40,46,49,-6,-5,36,-19,4,-19,24,-6,16,-7,49,44,-8,-8,-3,24,38,5,-12,-13,12,36,18,-9,24,19,-17,8,-19
-11,-2,33,4,32,-3,10,-14,-14,-18,9,34,-6,-3,30,34,22,-6,2,-6,-15,34,43,-7,39,22,30,47,2,-16,27,44,45,-17,46,-17,4,45,1,-8,40,-16,-15,-15,11,-8,7,-9,-1,45,3,-4,-11,14,-14,21,-1,37,44,-18,-14,43
33,-12,40,39,40,27,-1,-18,12,39,34,-7,47,23,6,32,-6,2,-7,-7,8,35,-7,31,24,-19,-10,-9,-9,25,-11,-4,40,35,21,45,-16,-16,-3,0,28,45,43,49,23,39,0,36,40,-17,3,34,-14,-18,-18,35,36,11,24,37,45,-17
9,-5,-10,18,23,-13,2,-11,1,35,-17,17,32,3,46,38,31,38,43,-1,44,7,17,37,14,36,30,37,1,45,48,-11,-9,48,29,49,-19,11,23,-6,39,-11,18,49,45,6,-6,5,-2,48,-9,46,-12,6,-6,-9,35,13,43,30,43,18
40,21,-19,24,-3,32,13,-5,-19,17,-6,-5,18,-2,42,22,16,35,35,-12,48,-19,-11,-14,-1,42,-13,45,25,39,36,17,-15,-10,6,39,48,10,-13,43,14,48,46,17,-13,1,-18,48,48,20,24,33,12,32,26,44,29,36,17,-19,42,31
18,40,26,42,-9,39,-6,48,34,32,41,41,28,36,-5,20,-11,-12,8,44,-17,-18,38,-2,39,49,44,11,29,-15,29,-5,-5,-5,25,45,-13,22,42,34,26,32,28,-5,25,46,30,-10,8,35,36,43,41,31,22,33,-6,18,17,-10,44,15
32,16,-17,40,35,-13,34,34,24,-4,-3,1,11,42,-3,-3,32,-17,32,29,15,37,31,25,19,49,22,49,4,-18,-17,31,43,-3,2,38,26,38,46,-17,24,-9,-10,9,-13,-9,-6,31,-11,34,33,-13,14,-9,21,31,-7,32,-9,32,-8,11
19,-15,32,-9,11,32,42,18,-14,31,27,-8,-6,27,45,30,33,38,41,36,33,49,-10,4,36,-13,12,35,11,-2,31,27,1,-3,-9,-10,-5,34,32,14,-3,35,43,49,-19,8,28,36,1,32,25,40,2,-2,-7,-15,-1,19,-10,4,31,38
-16,43,-5,44,-6,23,47,-12,41,9,48,49,46,-15,23,-1,40,28,-13,-13,-6,46,45,11,25,-15,19,43,33,15,15,31,41,47,-9,-4,-13,20,11,-12,11,-6,31,4,10,-9,37,14,15,48,47,-9,8,-19,35,47,39,27,-10,43,20,41
47,17,-2,48,-7,-12,42,1,-1,15,-14,42,48,-14,30,-14,-4,-2,26,-5,11,-5,31,47,-18,9,47,13,47,40,35,9,-2,11,-1,49,24,-7,-1,17,20,-11,1,-17,-9,46,49,-17,-18,22,6,-3,47,18,47,-15,40,2,44,-17,17,-9
22,34,31,38,-1,2,-14,30,1,-6,-8,1,38,17,12,-2,-17,23,44,30,-1,32,12,-10,39,22,26,32,10,-3,45,2,32,5,1,-1,-17,37,-10,19,-1,-17,-3,-2,47,34,-5,-7,48,9,-15,38,5,44,6,-17,-4,22,43,-11,6,49
-19,49,47,11,7,-13,29,44,-8,-17,37,18,13,35,11,-2,30,35,19,-9,34,-6,39,24,23,-10,11,36,31,31,11,39,-17,39,24,49,-13,34,39,-19,16,35,-10,14,-16,24,44,47,-2,25,38,25,14,32,-7,12,-18,48,-7,-15,-1,32
21,-10,34,38,-4,33,-1,-8,48,17,-18,-8,30,33,-13,49,21,-2,43,29,33,3,47,38,-4,25,36,-12,-18,32,-2,-7,49,-18,-12,18,-4,44,-14,41,20,-18,34,35,36,-19,-16,35,-1,-3,-12,-12,-16,20,41,27,-16,15,29,33,-8,45
45,-17,-13,-7,-10,-11,33,25,0,-18,39,32,-6,6,-12,-5,0,42,-17,-7,-10,18,-11,-9,30,-16,-4,22,7,-14,18,-9,-13,43,28,34,44,15,10,37,23,-2,3,31,-4,5,5,33,9,47,27,34,44,5,42,49,-14,33,39,22,37,-4
-10,-18,-7,-5,47,20,-6,19,42,-19,13,41,-1,27,24,-19,-18,38,-13,0,47,35,-12,19,28,39,43,28,40,35,34,48,-1,-7,-17,-13,42,48,10,38,6,46,29,33,-8,33,-1,-9,29,38,31,42,-18,-12,-8,9,49,47,15,48,-8,35
2,-10,-2,46,13,39,34,-1,-1,37,10,47,17,-5,9,-12,-4,42,34,42,-8,47,32,-12,-14,26,35,20,10,-16,39,10,11,-2,42,38,31,24,-10,46,-18,-1,11,-8,-11,49,-7,34,-11,19,37,-17,3,-16,-7,49,38,-1,0,37,24,32
39,-3,-13,20,-16,0,-3,-5,41,-14,37,38,18,-12,6,39,6,-19,-3,1,29,35,5,-11,36,-10,-7,-7,40,-10,-10,7,34,47,37,5,17,-1,-1,-13,19,41,9,32,13,-12,-17,35,6,33,21,32,34,5,36,-1,25,-8,-18,43,40,15
20,-9,-18,20,-12,-8,-7,1,-18,21,7,-6,5,38,9,-9,32,41,9,33,36,26,12,-1,31,37,-8,19,39,45,30,-18,-9,15,14,37,46,23,-15,28,15,-18,22,-14,12,46,-14,37,22,-14,31,44,24,-11,13,37,-8,18,21,-14,15,38
-18,44,-7,17,38,47,32,0,28,43,-6,24,27,49,29,-6,40,21,47,22,-16,32,46,22,-3,42,37,-14,41,49,-18,34,13,42,32,2,-14,16,10,39,24,-14,-17,31,36,-18,-3,31,44,15,-3,37,5,44,-9,22,-8,21,44,31,-9,-12
-6,47,-6,7,28,41,10,-7,-12,41,4,33,3,37,5,-2,-2,4,32,34,-19,4,39,35,9,39,21,-10,-6,-13,41,1,46,-19,-3,-16,42,41,-11,40,-5,-4,11,-1,-7,-12,29,-4,33,11,-3,-7,31,47,48,31,-19,30,29,-12,-19,1
10,37,8,-6,31,-6,34,37,2,-2,12,46,43,-3,-6,-17,42,35,46,49,-15,48,3,49,17,34,39,-5,15,36,17,31,-9,19,-6,34,-16,-11,13,-8,15,-9,48,-9,-5,25,45,-1,-8,8,-17,7,39,30,-7,-14,32,-17,24,-4,-15,3
-5,29,-5,24,22,-4,36,-8,38,44,-10,25,41,2,-17,38,34,38,34,31,38,-10,37,34,-14,24,-18,41,-3,20,38,-7,27,39,48,16,28,48,38,-8,22,-10,18,34,16,37,-9,31,-5,22,40,-14,46,-4,35,46,49,30,47,22,45,6
-18,24,8,-19,45,20,-13,-19,42,24,6,46,26,49,-14,-16,-15,38,-6,-7,47,-9,-14,36,14,35,-3,46,-17,2,13,-17,20,36,-16,6,10,32,38,33,15,-13,43,33,-3,47,34,41,4,33,-19,35,-12,7,22,-9,11,-13,23,42,-12,-14
40,41,41,41,32,42,23,31,45,26,-7,41,32,49,29,36,19,-1,31,17,-7,-13,-4,4,-10,12,26,-3,29,31,45,30,11,-1,-17,-7,-5,-5,34,38,8,41,4,47,34,10,35,28,43,17,18,-7,13,46,11,-7,11,41,38,27,12,37
31,-14,35,39,46,16,2,31,38,25,37,20,47,33,37,13,-4,7,1,41,20,45,40,40,42,26,-1,-13,47,12,-16,-12,12,47,11,-5,13,31,39,18,34,13,26,-16,5,32,7,34,-10,7,-13,-18,-18,20,47,11,-5,42,33,6,38,14
21,-7,2,43,-6,43,35,-19,11,-17,42,3,34,24,31,11,-11,8,-9,42,5,48,48,-16,36,10,5,35,23,41,5,32,19,36,-2,32,30,42,-3,15,16,-12,19,35,-15,-16,17,-10,29,44,20,-11,44,12,32,-1,14,46,-9,-18,-16,-5
48,-9,-10,46,49,-12,39,16,-8,10,31,35,1,-15,36,33,-8,11,39,11,2,-8,-12,-19,-19,36,-14,7,-19,2,40,-5,-3,-15,43,14,18,-4,6,35,-5,0,-1,-9,7,-19,46,29,-17,3,-7,25,21,39,-15,-11,37,19,29,-14,37,36
27,-11,-2,43,-13,20,24,-19,29,-14,33,27,19,31,39,19,37,-2,-16,4,-6,40,-3,2,42,-14,12,32,42,-12,-15,27,32,15,-8,38,30,-19,-5,49,26,48,25,-15,7,-13,-10,15,-16,40,-7,35,30,-4,33,-18,11,-15,30,39,-13,-14
-2,-4,-1,13,35,7,-7,22,-13,16,24,43,-1,37,42,15,11,46,31,39,47,14,-16,-19,-6,43,7,46,49,-10,42,46,10,41,36,40,13,-4,48,-3,13,-3,40,0,-12,14,17,-17,0,42,49,11,24,34,37,-16,-4,37,35,-19,27,35
23,36,-4,13,48,23,40,-4,-4,12,35,8,17,-3,10,-12,30,-6,14,-19,-10,42,-9,12,37,1,22,35,41,22,22,40,7,34,32,29,32,28,30,42,17,37,-15,44,44,-16,32,42,-16,25,-19,26,44,18,21,-16,-11,16,28,44,11,-11
2,-19,2,-13,33,-9,23,41,-11,-3,37,16,-16,-8,21,45,47,-11,-13,10,-12,7,24,-8,37,28,-14,-17,25,46,-8,-17,13,-12,31,21,-14,24,-12,-14,7,34,-3,22,-12,21,-7,10,29,-12,-2,-19,-15,33,-17,47,-19,20,-4,33,-7,1
-19,16,24,49,48,42,12,45,-12,44,7,33,28,-13,-14,-19,38,-3,-13,45,-14,37,42,23,2,34,-16,-13,4,42,-6,1,44,35,-11,-10,25,-15,-9,40,32,37,19,43,29,-19,31,2,35,-8,-15,14,-7,-5,-19,25,3,-17,37,46,1,-14
-14,15,0,43,-18,9,12,33,-2,-10,-9,21,31,16,42,-12,37,-6,46,3,-3,34,-18,2,40,29,30,-17,41,16,45,48,-1,3,22,35,-15,0,-14,-12,-4,-2,24,47,40,44,41,10,23,47,10,49,-16,-17,35,-12,38,-8,-2,-15,-13,-16
30,49,47,39,-2,42,46,-8,29,37,-19,25,5,49,-6,46,37,-3,-12,36,47,-1,-9,21,-6,-6,17,35,28,-2,18,-10,-2,48,44,-17,-11,20,22,32,43,7,39,30,-15,-8,-17,-13,29,38,11,-14,42,32,14,-18,-9,41,0,-2,-17,15
-14,21,13,35,34,-11,-4,19,21,-17,-5,-16,46,24,6,-1,38,13,-19,22,32,46,39,-3,-5,25,19,-13,-3,41,-11,-7,-16,21,-10,6,28,46,15,37,-7,-11,39,-2,12,-9,47,-2,17,-4,-3,1,47,-13,10,-13,-8,-1,-13,19,-6,18
48,-14,10,41,-11,25,19,-8,-2,44,29,-14,-6,18,25,-16,34,-16,34,23,17,-11,-14,46,-4,28,-11,-15,38,-8,-11,40,31,22,43,-9,27,36,43,43,25,34,35,-9,-19,-6,34,10,43,43,21,32,-6,46,30,-11,20,-15,-18,31,33,-12
7,41,26,-10,-13,18,41,22,36,49,46,18,49,1,-12,4,36,-4,47,2,49,26,-1,-6,43,30,31,21,-1,30,-7,39,-11,-9,17,-2,35,27,-9,24,-3,38,47,46,-10,24,-3,27,33,-11,47,12,-9,22,43,20,39,22,45,27,-9,3
-5,42,33,22,15,-19,3,-10,-9,28,44,-5,32,-11,5,-3,44,12,15,37,1,-7,10,31,49,-6,-7,21,48,14,45,34,31,-17,-2,47,-19,5,-15,24,-2,-14,48,47,40,2,40,17,23,-9,-12,48,-14,-6,-16,37,23,34,37,30,20,-16
-15,0,44,11,29,37,47,39,-19,-15,-8,4,-17,12,8,-4,-4,25,23,-11,-16,24,-14,42,-12,35,8,-5,14,-18,-2,17,-3,-4,15,-14,15,49,-9,0,5,-17,-19,28,16,-18,-19,12,-17,-11,32,24,8,-8,38,10,49,-6,10,-4,-5,-2
-1,36,18,-8,9,-8,-13,17,-7,32,25,40,27,-13,37,23,-15,28,-14,20,-11,19,-15,1,-9,31,24,45,18,-7,38,-12,6,-7,-3,22,32,24,-9,-7,24,48,-1,40,14,-12,40,45,36,43,38,20,-14,31,36,-5,25,35,39,27,49,5
14,-8,47,-10,10,38,-13,9,-18,46,13,35,-11,-3,-19,7,-8,37,-17,17,39,4,47,0,41,-17,42,19,-6,1,49,-9,33,14,31,16,1,-18,19,-11,-7,15,41,49,-10,5,6,-10,-9,15,-6,33,41,46,-14,-13,-4,36,-17,8,21,-8
-19,-19,18,-4,31,5,27,-14,-8,1,4,48,10,40,-3,0,32,34,36,-13,-10,49,14,38,2,41,44,37,44,14,43,3,-11,22,-6,14,18,-16,37,12,47,36,-15,10,11,43,27,43,32,17,45,-8,-10,38,-7,-4,3,49,31,20,37,20
21,-16,15,-17,-19,36,34,24,36,47,42,25,16,34,11,-9,48,43,21,36,33,35,24,42,15,36,14,39,44,24,42,-14,8,44,37,43,-15,-2,2,-15,22,41,27,41,-12,13,31,-14,-6,-1,43,-10,-19,31,3,32,16,31,29,33,44,23
-15,-18,38,39,16,32,-3,30,19,36,28,-19,42,-10,43,1,30,32,22,49,-16,26,47,38,45,44,42,27,42,-12,24,36,15,-7,46,-10,34,10,-13,23,20,-18,26,-18,-4,26,26,-4,-16,30,-17,5,-10,-19,-6,13,33,48,-5,21,46,9
41,30,20,36,-5,31,36,10,-7,7,2,-7,-16,5,8,-2,42,28,15,-7,-17,-18,45,-9,17,46,-13,6,-17,43,21,-4,-10,28,9,36,46,3,-15,45,-15,-9,-19,7,-2,41,8,45,-4,45,44,34,-3,14,39,47,-15,18,24,45,44,4
-17,15,33,5,30,-6,44,-15,9,47,34,17,-3,8,47,-6,42,-2,-14,5,47,-18,32,19,5,-18,-10,21,34,42,25,47,15,-2,-14,39,-12,-15,41,7,-10,10,7,-19,-16,4,5,-11,19,-7,9,-14,-17,19,-15,19,-10,-16,-8,45,-13,13
-2,34,4,-16,23,35,-12,21,-5,38,43,26,-9,-19,-1,40,-19,-12,45,19,20,-5,25,48,44,-11,-9,-13,-18,-3,-4,1,-11,8,-2,39,21,39,39,-12,-15,26,4,41,-2,-16,15,-12,38,-3,8,-18,49,25,-7,21,21,45,34,42,25,-13
46,28,-10,30,9,-17,43,46,10,31,21,33,33,15,35,49,45,43,45,-16,44,31,6,43,37,10,-17,1,40,44,21,48,-14,-19,-18,40,40,29,39,36,-6,17,-2,6,5,-18,-7,22,16,33,-9,47,37,36,4,-11,42,-17,39,14,-15,-1
-11,4,-8,45,35,-11,5,-9,18,-4,6,45,47,-9,-7,-5,43,1,32,37,47,21,-12,-9,-3,49,-1,21,-8,7,39,0,-18,3,32,33,46,31,-18,35,39,11,7,34,7,46,-7,26,39,18,35,38,38,-10,-4,7,-7,31,44,-4,41,-9
-9,10,-14,26,39,1,-13,5,37,10,48,10,48,-2,36,4,-13,31,-1,28,40,20,2,34,9,49,2,37,41,31,4,33,29,-1,48,19,-11,30,27,34,-4,34,49,-12,9,-13,-1,43,10,-16,43,22,-17,31,49,39,-6,-5,5,43,-3,26
-15,19,49,0,43,-1,26,42,45,26,36,23,38,8,21,-5,31,44,41,12,38,14,-12,1,34,24,-3,16,15,47,45,45,36,23,46,19,-7,-13,42,0,36,33,6,44,-16,-18,18,-7,39,34,-15,20,19,47,5,-10,34,46,46,5,16,-1
-16,10,38,-3,35,-17,-11,-12,-19,20,-17,30,10,-19,29,-14,47,29,20,39,-14,31,-14,43,-16,17,36,31,6,-14,-5,-4,45,4,-17,29,-15,19,40,-19,-1,-13,48,17,-5,48,40,23,44,-19,46,-15,48,4,8,-14,-12,3,-9,38,12,-4
-12,39,49,-15,43,10,1,42,48,15,38,24,45,-14,31,40,-8,41,-15,21,30,-6,40,9,-5,32,25,32,31,-10,-2,40,26,49,-3,-1,15,47,-14,-9,-7,-17,48,-8,40,12,38,-15,-12,48,18,44,6,-8,-18,-4,-9,-7,39,1,-13,-13
47,33,0,49,-15,48,49,20,18,35,2,48,32,17,31,-10,-1,16,-6,25,-1,46,-8,34,2,-11,22,-19,-19,-11,49,38,45,45,-11,19,-11,33,5,-18,44,24,-7,46,-16,45,37,33,31,-17,33,-1,0,-9,39,18,-13,38,46,8,43,33
11,49,-10,32,-4,23,-16,38,6,-1,44,25,-14,-16,39,47,-8,21,43,-2,-2,-12,6,-6,-5,2,35,-19,8,48,31,47,37,47,-4,28,-5,39,15,45,20,-13,-9,32,45,-3,6,36,-4,-16,15,-17,44,3,36,38,29,33,-12,6,29,-14
39,-11,-5,40,49,-18,36,-6,7,44,48,-15,24,-8,7,-7,-13,21,-10,13,28,34,47,36,26,-2,4,-10,-3,36,36,-6,-8,10,49,38,36,19,30,-4,40,41,43,-16,49,-14,-5,1,38,39,8,-17,36,6,-1,32,10,40,40,3,-1,-12
-13,27,-6,8,-19,17,37,-13,-18,45,19,-12,12,41,49,6,24,-19,-3,19,21,43,44,41,-8,11,-16,44,40,26,-7,21,37,-12,-13,17,46,3,8,37,47,46,22,-3,-16,-14,8,36,36,13,6,-1,35,38,30,-12,-12,-8,6,36,38,35
44,7,-4,27,25,44,-6,-17,-3,19,48,29,17,-3,-12,-19,48,34,33,24,35,42,47,32,7,-17,26,-15,46,33,-8,43,-1,41,16,-2,-16,19,49,-18,19,47,35,33,-7,18,36,2,35,-12,1,-11,12,-11,36,10,-5,18,27,-5,-16,-19
20,41,38,12,-7,12,37,26,4,39,37,23,39,49,43,42,35,5,5,-14,27,38,31,-15,33,-2,9,39,0,-7,-9,1,-2,36,8,-1,-15,4,-13,43,47,7,44,8,31,32,40,28,-10,-15,-7,16,44,35,30,42,44,31,15,-17,38,1
34,38,48,2,12,43,-15,-15,16,42,12,-3,-19,-10,-15,22,49,-15,-14,-3,-11,23,34,-10,-9,-6,-2,1,0,40,6,-6,-1,-14,-10,-19,37,34,27,-7,37,11,-11,34,45,23,47,16,48,-14,-11,-15,14,-19,-15,39,11,-4,46,30,-16,28
-12,19,17,-1,-8,23,-2,23,29,37,-5,-15,-13,23,37,0,15,-2,24,38,46,-9,9,-11,39,-19,5,-3,31,36,28,-7,39,29,-11,6,4,44,19,34,35,42,-17,15,23,44,-2,26,1,-18,48,35,-11,-14,-19,35,3,35,-14,-18,-7,11
-13,-7,-10,26,37,35,-16,16,5,35,10,49,-14,-13,31,49,17,43,40,8,-16,9,20,35,-5,-2,48,24,32,26,-3,23,-2,38,5,44,47,-11,3,-8,-6,-17,-12,26,27,-16,-1,2,-11,-7,-17,30,32,7,22,46,46,-6,12,40,-7,33
-18,6,-1,49,25,47,49,-19,10,42,12,46,-17,-6,0,31,-9,-15,-15,-9,7,32,14,-15,-6,7,-7,13,43,36,-9,32,-8,8,-11,7,49,16,-4,20,-19,17,36,18,-12,-14,7,33,3,36,-7,19,9,44,29,-4,45,40,30,46,36,8
-13,15,23,-1,0,-15,-1,2,-18,46,6,-6,12,32,30,-3,26,-15,44,-2,11,41,43,37,-15,30,-3,9,5,-14,2,-5,10,-3,23,-9,6,-13,18,37,26,-3,38,15,5,-12,-17,31,29,-3,-10,22,42,19,-12,21,45,32,19,-4,-10,39
-13,1,-5,-5,27,33,-17,21,26,-13,16,-15,37,10,41,26,2,-11,44,11,29,43,49,15,2,-18,23,-10,29,-9,33,23,47,15,48,-14,13,33,-19,39,22,34,-6,33,39,35,41,-4,-5,15,-2,15,-5,-13,42,10,36,23,6,45,43,40
35,-13,46,29,-11,-17,37,22,-11,32,36,-15,-3,3,33,3,-10,21,-3,7,-15,42,16,31,40,44,30,-6,33,44,35,11,19,45,-1,1,-5,0,39,22,43,15,33,36,-16,-7,25,-9,-3,-1,6,49,-11,-2,49,7,36,11,-12,36,-6,31
-17,45,12,45,-2,-13,-13,20,14,42,35,30,-3,15,5,46,24,-15,6,41,11,-16,5,42,8,33,17,39,44,-3,9,45,-2,36,-10,24,-18,39,44,-18,-18,14,29,-17,33,37,12,41,34,-6,-2,7,0,-13,-17,39,31,-5,-19,-2,-16,0
-16,14,4,-18,17,45,9,-6,24,40,-7,48,-13,25,0,48,6,33,1,-19,-10,13,16,-17,-11,9,36,23,0,36,-19,23,40,0,45,31,19,-6,27,34,2,32,49,28,-12,11,42,-8,-14,4,32,26,41,-3,5,-5,22,37,-3,35,-12,41
